# name                    u        g_2      r        i        z       
  UGC00005                16.123   13.942   13.265   12.896   12.787  
  NGC7819                 16.063   14.281   13.624   13.487   13.69   
  UGC00029                16.374   14.467   13.542   13.103   12.849  
  IC1528                  15.353   13.706   13.086   12.811   12.876  
  NGC7824                 16.006   13.577   12.713   12.289   12.071  
  UGC00036                16.288   14.327   13.426   12.953   12.684  
  NGC0001                 15.285   13.702   12.89    12.498   12.26   
  NGC0023                 14.186   12.669   11.947   11.621   11.372  
  NGC0036                 15.45    13.71    12.814   12.485   12.379  
  UGC00139                15.608   14.3     13.797   13.55    13.511  
  UGC00312                15.393   14.001   13.599   13.451   13.67   
  NGC0155                 15.487   13.558   12.787   12.366   12.168  
  ESO540-G003             15.529   13.849   13.24    12.915   12.792  
  NGC0160                 15.58    13.428   12.562   12.163   12.037  
  NGC0165                 16.374   14.024   13.362   13.082   13.2    
  NGC0171                 14.949   13.002   12.308   11.94    11.89   
  NGC0180                 15.811   13.704   12.805   12.562   12.401  
  NGC0192                 15.146   13.282   12.446   12.045   11.809  
  NGC0214                 14.616   12.857   12.172   11.819   11.643  
  NGC0237                 14.809   13.484   12.929   12.642   12.469  
  NGC0234                 15.052   13.285   12.607   12.283   12.221  
  NGC0257                 15.186   13.279   12.648   12.229   12.193  
  NGC0309                 17.177   13.414   12.691   12.333   12.824  
  NGC0364                 16.017   13.813   12.952   12.525   12.337  
  NGC0447                 15.909   13.697   13.05    12.453   12.264  
  NGC0477                 16.334   14.575   13.815   13.474   13.279  
  IC1683                  16.063   14.232   13.405   13.029   12.826  
  NGC0499                 15.096   12.982   12.092   11.612   11.321  
  NGC0496                 16.079   14.233   13.585   13.302   13.423  
  NGC0517                 15.746   13.788   12.959   12.517   12.229  
  UGC00987                15.764   14.011   13.19    12.765   12.466  
  NGC0528                 15.843   13.729   12.811   12.356   12.074  
  NGC0551                 16.466   14.093   13.216   12.911   12.787  
  NGC0570                 15.575   13.693   12.87    12.475   12.308  
  IC0159                  15.302   13.944   13.522   13.355   13.425  
  UGC01271                16.072   14.067   13.178   12.721   12.457  
  UGCA021                 15.636   14.194   13.642   13.578   13.765  
  NGC0677                 15.754   13.704   12.752   12.285   11.997  
  NGC0716                 15.329   13.73    12.946   12.544   12.301  
  UGC01368                16.515   14.623   13.837   13.399   13.136  
  NGC0731                 14.852   12.935   12.156   11.761   11.535  
  NGC0755                 14.44    13.157   12.668   12.464   12.536  
  NGC0768                 15.657   14.091   13.49    13.172   13.162  
  NGC0774                 15.745   13.825   12.946   12.48    12.211  
  NGC0776                 15.752   13.751   12.853   12.498   12.457  
  NGC0787                 15.195   13.209   12.456   12.072   11.907  
  NGC0842                 15.15    13.27    12.491   12.094   11.865  
  UGC01659                16.495   14.502   13.832   13.468   13.375  
  KUG0210-078             15.911   14.37    13.559   13.168   12.922  
  NGC0873                 14.173   12.887   12.349   12.098   12.017  
  NGC0924                 15.722   13.661   12.749   12.278   11.991  
  UGC01918                17.057   14.547   13.704   13.3     12.934  
  NGC0932                 15.632   13.471   12.496   12.004   11.776  
  NGC0941                 14.826   13.421   12.911   12.725   12.898  
  NGC0938                 15.484   13.554   12.652   12.187   11.954  
  NGC0962                 15.57    13.432   12.538   12.072   11.824  
  NGC0976                 14.866   13.079   12.316   11.899   11.694  
  NGC0991                 15.647   13.509   12.95    12.766   13.337  
  UGC02099                16.61    14.707   13.757   13.237   12.998  
  UGC02134                16.498   14.21    13.298   12.805   12.603  
  NGC1026                 15.576   13.439   12.595   12.121   11.89   
  NGC1060                 15.405   12.953   11.889   11.314   10.973  
  NGC1070                 14.507   12.724   11.901   11.497   11.29   
  UGC02222                16.429   14.356   13.427   12.931   12.624  
  UGC02229                16.303   14.403   13.57    13.109   12.834  
  NGC1094                 15.183   13.729   13.081   12.73    12.623  
  NGC1093                 15.981   13.987   13.285   12.914   12.77   
  UGC02311                15.445   13.902   13.224   12.898   12.767  
  NGC1132                 15.509   13.497   12.641   12.184   11.972  
  UGC02367                16.766   14.524   13.475   12.883   12.611  
  UGC02403                16.227   14.274   13.384   12.903   12.621  
  UGC02405                16.874   14.707   14.056   13.685   13.538  
  UGC02443                16.143   14.241   13.642   13.384   13.35   
  NGC1167                 16.081   13.373   12.308   11.799   11.542  
  NGC1211                 15.416   13.254   12.42    11.97    11.713  
  IC0307                  16.087   14.257   13.37    12.904   12.805  
  UGC02690                15.945   14.564   14.061   13.884   13.881  
  NGC1324                 16.605   13.277   12.475   12.035   11.834  
