# Attach there is a file with the values of the sky in mag/arcsec^2, 
# the FWHM (arcsec) of the moffat PSF and the beta value for the three bands. The
# order of the band is always g,r,i. The SDSS plate scale is 0.396127 ASEC/PIX
#
#galaxy	       skyg            skyr            skyi           fwhmg        fwhmr        fwhmi        betag        betar        betai
UGC00005       21.868068       20.919889       20.105134      1.86120      1.36620      1.40580      4.70000      4.40000      3.70000
NGC7819        21.996003       21.107872       20.451152      1.54440      1.30680      1.18800      2.80000      3.50000      5.20000
UGC00029       22.149548       21.191694       20.423834     0.966240     0.696960     0.795960      4.04000      2.06000      2.07000
UGC00029       22.149548       21.191694       20.423834     0.966240     0.696960     0.795960      4.04000      2.06000      2.07000
IC1528         21.843059       21.002841       20.372336      1.06524     0.989208     0.870408      7.74000      3.79000      7.21200
NGC7824        21.739588       20.842116       20.082949      1.16028      1.02564     0.993960      5.50000      4.90000      6.70000
UGC00036       21.775565       21.038131       20.478127     0.871200     0.752400     0.681120      9.74000      5.03000      8.03000
NGC0001        22.159150       21.187672       20.409718      1.08900      1.03752      1.11276      11.2000      8.40000      4.40000
NGC0023        21.990525       21.221386       20.669589      1.50401      1.35986      1.31630      3.24000      3.53880      3.67800
NGC0036        21.788888       21.062482       20.529882     0.968616     0.742104     0.932184      6.70200      4.79400      4.31400
UGC00139       21.674310       20.776807       19.860360      1.16820     0.990000     0.871200      4.10000      6.50000      4.50000
MCG-02-02-030  21.616688       20.606624       19.790552      1.70993      1.35274      1.14761      4.16600      3.51600      4.81400
UGC00312       21.945850       21.067130       20.408227      1.69686      1.44540      1.24740      4.08000      6.97000      3.06000
NGC0155        21.602524       20.564820       19.719615      1.61568      1.48104      1.52064      6.83000      3.70000      4.14000
ESO540-G003    21.847421       20.850924       20.094435      1.62360      1.34640      1.24740      8.10000      5.00000      4.50000
NGC0160       22.188749       21.252552       20.484983      1.58400      1.45728      1.40976      4.00000      5.00000      4.00000
NGC0165       21.643050       20.579059       19.655069      1.18008     0.899712     0.876744      3.98400      5.47800      5.95000
NGC0171       21.857589       20.841545       20.098030      1.65132      1.36858      1.24819      9.44200      3.60800      4.32000
NGC0180       21.990971       20.875784       20.020544      1.43194      1.19196      1.26878      3.84800      3.83000      3.29600
NGC0192       21.733625       20.903656       20.103171      1.26720      1.10484      1.21176      5.80000      4.40000      5.80000
NGC0214       22.024006       21.227030       20.604297      1.47946      1.40263      1.26403      3.66400      3.95200      3.40000
NGC0237       21.766991       20.710919       19.934428      1.22760     0.938520     0.831600      4.04000      5.80000      3.80000
